customer_id,full_name,country_of_residence,occupation,product_type,is_pep,risk_score,risk_rating,match_score,activity_ratio
100043,Hassan Smith,Germany,Nurse,Savings Account,0,0,Low,0.55,6.94
100044,Mary Smith,Ireland,Cash-Intensive Business,Private Banking,0,55,Medium,0.36,4.73
100045,Chen Nakamoto,China,Nurse,Current Account,0,40,Medium,0.72,1.0
100046,Chen Haddad,Germany,Real Estate Agent,Personal Loan,0,30,Medium,0.7,5.42
100047,Emma Fitzgerald,Australia,Software Engineer,Trade Finance,0,20,Low,0.43,0.9
100048,Sofia Fitzgerald,Russia,Retail Trader,Savings Account,0,60,High,0.41,3.44
100049,Mei Nakamura,Nigeria,Real Estate Agent,Current Account,0,35,Medium,0.58,1.0
100050,Kwame Muller,United Kingdom,Nurse,Credit Card,0,40,Medium,0.4,1.0
100051,Kenji Haddad,UAE,Doctor,Savings Account,0,15,Low,0.75,1.2
100052,Rajesh Lindqvist,United Kingdom,Accountant,Fixed Deposit,0,10,Low,0.35,5.07
100053,Adebayo Chen,South Africa,Car Dealer,Personal Loan,0,35,Medium,0.42,3.9
100054,Ivan Mbeki,United States,Retail Trader,Crypto Wallet,0,45,Medium,0.57,1.0
100055,Hassan Okafor,United States,Teacher,Fixed Deposit,0,0,Low,0.53,6.21
100056,Priya Adeyemi,Canada,Teacher,Fixed Deposit,0,35,Medium,0.44,3.27
100057,Tariq Patel,United States,Teacher,Fixed Deposit,0,25,Medium,0.64,1.2
100058,Ingrid Okafor,China,Money Service Business,Fixed Deposit,0,55,Medium,0.54,9.54
100059,Benjamin Petrov,Australia,Real Estate Agent,Current Account,0,20,Low,0.69,1.0
100060,Sergei Muller,South Africa,Import/Export Trader,Savings Account,0,35,Medium,0.59,1.0
100061,Hassan Reddy,China,Software Engineer,Savings Account,0,25,Medium,0.62,5.47
100062,Adebayo Hall,Nigeria,Accountant,Savings Account,0,25,Medium,0.5,1.2
100063,Hassan Lindqvist,India,Nurse,International Wire Transfers,0,45,Medium,0.48,0.9
100064,Zara Patel,Germany,Car Dealer,Savings Account,0,20,Low,0.43,1.0
100065,Oluwaseun Haddad,United States,Accountant,Fixed Deposit,0,25,Medium,0.67,3.96
100066,Ivan Andersson,Turkey,Civil Servant,Private Banking,0,45,Medium,0.64,1.2
100067,Liam Bello,Turkey,Car Dealer,International Wire Transfers,0,55,Medium,0.48,9.96
100068,Kwame Bello,Japan,Casino Operator,Current Account,0,25,Medium,0.42,1.0
100069,Carlos Reddy,Brazil,Real Estate Agent,Credit Card,0,35,Medium,0.48,1.2
100070,Adebayo Haddad,France,Teacher,Fixed Deposit,1,35,Medium,0.77,1.2
100071,Amara Okafor,Nigeria,Import/Export Trader,Credit Card,0,35,Medium,0.48,5.52
100072,Elena Silva,United Kingdom,Software Engineer,Savings Account,0,10,Low,0.75,1.2
100073,Lucas Mbeki,Japan,Civil Servant,Savings Account,0,0,Low,0.33,0.9
100074,Kwame Ivanov,Japan,Casino Operator,Savings Account,0,50,Medium,0.64,0.9
100075,Mohammed Reddy,United States,Real Estate Agent,Fixed Deposit,0,20,Low,0.69,1.0
100076,Elena Nguyen,Sweden,Nurse,Crypto Wallet,0,30,Medium,0.48,0.9
100077,Kenji Adeyemi,United Kingdom,Accountant,International Wire Transfers,0,30,Medium,0.37,1.0
100078,Sara Brown,India,Accountant,Savings Account,1,70,High,0.38,4.0
100079,Aisha Muller,India,Real Estate Agent,Savings Account,1,60,High,0.42,0.9
100080,Omar Volkov,South Africa,Civil Servant,Fixed Deposit,0,25,Medium,0.75,1.0
100081,Aisha Ivanov,Kenya,Nurse,Savings Account,0,25,Medium,0.64,1.0
100082,Nadia Cole,China,Accountant,Credit Card,0,35,Medium,0.55,0.9
100083,Aisha Andersson,Mexico,Nurse,Personal Loan,0,35,Medium,0.46,1.0
100084,James Yilmaz,South Africa,Accountant,Savings Account,0,25,Medium,0.33,8.75
100085,Sofia Sokolov,United Kingdom,Civil Servant,Crypto Wallet,0,20,Low,0.74,3.66
100086,Mary Lindqvist,United Kingdom,Civil Servant,Savings Account,0,0,Low,0.37,3.34
100087,Wei Fitzgerald,United Kingdom,Money Service Business,Current Account,0,25,Medium,0.37,0.9
100088,Amara Adeyemi,India,Teacher,Credit Card,0,25,Medium,0.54,3.9
100089,Dmitri Volkov,Russia,Nurse,International Wire Transfers,0,70,High,1.0,8.49
100090,Aisha Fitzgerald,Germany,Import/Export Trader,Credit Card,0,20,Low,0.43,6.57
100091,Adebayo Rossi,Canada,Doctor,Savings Account,0,10,Low,0.39,6.75
100092,Ivan Nakamoto,Kenya,Nurse,Current Account,0,15,Low,0.8,1.2
100093,Lucas Khan,Australia,Jeweller,Crypto Wallet,0,40,Medium,0.44,1.0
100094,Chen Bello,Germany,Nurse,Crypto Wallet,0,30,Medium,0.43,4.39
100095,Oluwaseun Rossi,Turkey,Civil Servant,Current Account,0,40,Medium,0.38,1.0
100096,Aisha Brown,United Kingdom,Real Estate Agent,Credit Card,0,30,Medium,0.43,1.0
100097,Benjamin Reddy,India,Precious Metals Dealer,Fixed Deposit,0,50,Medium,0.46,5.43
100098,Mei Volkov,Australia,Software Engineer,Savings Account,0,0,Low,0.78,5.77
100099,Tariq Reddy,United Kingdom,Teacher,Fixed Deposit,0,10,Low,0.64,1.0
100100,Kenji Patel,Netherlands,Car Dealer,Private Banking,0,30,Medium,0.36,1.0
100101,Kenji Bello,United Kingdom,Import/Export Trader,Savings Account,0,20,Low,0.42,5.63
100102,Ingrid Petrov,France,Retail Trader,Current Account,0,20,Low,0.75,1.2
100103,Ivan Osei,Nigeria,Precious Metals Dealer,Personal Loan,0,60,High,0.6,1.2
100104,Mei Andersson,Turkey,Cash-Intensive Business,Current Account,0,40,Medium,0.5,0.9
100105,Kenji Al-Sayed,United States,Doctor,Fixed Deposit,0,10,Low,0.71,3.39
100106,Ingrid Mbeki,Afghanistan,Real Estate Agent,Savings Account,0,60,High,0.4,1.0
100107,Mary Al-Sayed,United States,Nurse,Current Account,0,10,Low,0.92,1.0
100108,Omar Dubois,United Kingdom,Real Estate Agent,Fixed Deposit,0,20,Low,0.5,1.0
100109,Chloe Okafor,Germany,Real Estate Agent,Current Account,0,10,Low,0.33,1.2
100110,Rajesh Chen,Turkey,Nurse,Savings Account,0,40,Medium,0.29,1.0
100111,Ivan Andersson,South Africa,Nurse,Fixed Deposit,0,30,Medium,0.64,0.9
100112,Ivan Nakamoto,Nigeria,Car Dealer,International Wire Transfers,0,70,High,0.8,0.9
100113,Mei Johnson,United Kingdom,Retail Trader,Savings Account,0,20,Low,0.42,5.87
100114,Wei Reddy,Kenya,Accountant,Credit Card,0,35,Medium,0.38,1.0
100115,Rajesh Hall,Brazil,Arms Dealer,Savings Account,0,70,High,0.35,1.0
100116,Sergei Kimura,United States,Doctor,Savings Account,0,0,Low,0.69,1.2
100117,Adebayo Osei,United States,Import/Export Trader,Savings Account,0,20,Low,0.33,1.2
100118,Yuki Kowalski,United Kingdom,Real Estate Agent,Private Banking,0,40,Medium,0.4,6.35
100119,Adebayo Adeyemi,Iran,Real Estate Agent,Current Account,0,60,High,0.44,4.15
100120,Zara Ivanov,Germany,Nurse,International Wire Transfers,0,20,Low,0.67,1.2
100121,Hassan Haddad,Brazil,Accountant,Fixed Deposit,0,25,Medium,0.87,1.0
100122,Omar Fitzgerald,Germany,Jeweller,Personal Loan,0,30,Medium,0.57,8.3
100123,Lucas Chen,United Kingdom,Teacher,Current Account,0,10,Low,0.37,1.0
100124,Zara Bello,Germany,Doctor,Fixed Deposit,0,10,Low,0.43,1.0
100125,Adebayo Al-Sayed,Germany,Nurse,Savings Account,0,0,Low,0.69,2.05
100126,Tariq Hall,Ireland,Civil Servant,Crypto Wallet,0,45,Medium,0.67,2.4
100127,Grace Lindqvist,Germany,Real Estate Agent,International Wire Transfers,0,30,Medium,0.36,1.2
100128,Mei Khan,United Kingdom,Real Estate Agent,Trade Finance,0,45,Medium,0.48,1.2
100129,James Smith,Canada,Precious Metals Dealer,Savings Account,0,35,Medium,0.34,1.0
100130,Thomas Al-Sayed,Mexico,Real Estate Agent,Trade Finance,0,55,Medium,0.86,1.0
100131,Amara Nakamoto,United States,Jeweller,Savings Account,0,25,Medium,0.77,1.0
100132,Noah Patel,Ireland,Real Estate Agent,Credit Card,0,20,Low,0.43,1.0
100133,Chloe Khan,Sweden,Civil Servant,International Wire Transfers,0,20,Low,0.37,0.9
100134,Hassan Wang,UAE,Car Dealer,Personal Loan,0,35,Medium,0.57,3.86
100135,Lucas Johnson,Australia,Jeweller,Current Account,0,20,Low,0.38,0.9
100136,Hassan Muller,China,Car Dealer,Savings Account,0,35,Medium,0.47,2.02
100137,Grace Okonkwo,Australia,Real Estate Agent,Crypto Wallet,1,65,High,0.54,9.63
100138,Kwame Yilmaz,Germany,Precious Metals Dealer,International Wire Transfers,0,55,Medium,0.33,1.0
100139,Kwame Patel,Netherlands,Doctor,Credit Card,0,20,Low,0.41,1.0
100140,Wei Dubois,UAE,Precious Metals Dealer,Savings Account,0,50,Medium,0.36,6.61
100141,Rajesh Nguyen,Brazil,Real Estate Agent,Fixed Deposit,0,35,Medium,0.38,1.0
100142,Noah Fitzgerald,India,Doctor,Credit Card,0,50,Medium,0.43,1.0
100143,Carlos Fitzgerald,China,Retail Trader,Trade Finance,0,55,Medium,0.4,1.2
100144,Ingrid Chen,Netherlands,Accountant,Personal Loan,0,20,Low,0.35,7.97
100145,Wei Patel,United Kingdom,Accountant,Current Account,0,10,Low,0.4,2.48
100146,Chen Reddy,Japan,Accountant,Trade Finance,0,20,Low,0.37,8.47
100147,Chen Volkov,United States,Precious Metals Dealer,Credit Card,0,35,Medium,0.75,4.09
100148,Chen Chen,Nigeria,Retail Trader,International Wire Transfers,0,45,Medium,0.31,0.9
100149,Adebayo Okafor,Germany,Real Estate Agent,Credit Card,0,30,Medium,0.44,2.8
100150,Sofia Johnson,Japan,Nurse,Savings Account,0,10,Low,0.32,1.0
100151,Noah Petrov,Japan,Civil Servant,Personal Loan,0,25,Medium,0.73,1.2
100152,Mei Sokolov,Canada,Civil Servant,Crypto Wallet,0,30,Medium,0.8,0.9
100153,Hassan Khan,United Kingdom,Teacher,Credit Card,0,25,Medium,0.64,2.26
100154,James Wang,United Kingdom,Software Engineer,Savings Account,0,30,Medium,0.35,7.74
100155,Mary Reddy,Germany,Teacher,Trade Finance,0,30,Medium,0.52,5.04
100156,Kwame Reddy,United States,Civil Servant,Current Account,0,30,Medium,0.35,1.0
100157,Elena Hall,Nigeria,Retail Trader,Current Account,0,25,Medium,0.61,1.0
100158,Mary Petrov,UAE,Casino Operator,Personal Loan,0,50,Medium,0.73,7.88
100159,Carlos Petrov,Iran,Teacher,Credit Card,0,50,Medium,0.72,2.62
100160,Elena Wang,Canada,Retail Trader,Savings Account,0,25,Medium,0.61,1.2
100161,Ivan Nakamura,France,Software Engineer,Current Account,0,10,Low,0.56,1.2
100162,Liam Okonkwo,China,Doctor,Fixed Deposit,0,15,Low,0.48,1.0
100163,Oluwaseun Silva,France,Jeweller,Current Account,0,10,Low,0.43,1.0
100164,Sara Lindqvist,United Kingdom,Software Engineer,Savings Account,0,10,Low,0.36,1.0
100165,Adebayo Sokolov,Kenya,Precious Metals Dealer,Personal Loan,0,80,High,0.71,2.69
100166,Nadia Adeyemi,Australia,Teacher,Current Account,0,10,Low,0.64,3.85
100167,Rajesh Wang,India,Doctor,Savings Account,0,25,Medium,0.42,1.0
100168,Emma Volkov,Germany,Civil Servant,Current Account,0,0,Low,0.75,1.2
100169,Elena Bello,United Kingdom,Retail Trader,Credit Card,0,45,Medium,0.67,1.0
100170,Mary Nakamoto,Nigeria,Import/Export Trader,Fixed Deposit,0,50,Medium,0.8,0.9
100171,Grace Khan,Netherlands,Accountant,Credit Card,0,20,Low,0.43,1.0
100172,Wei Volkov,United States,Real Estate Agent,Personal Loan,0,30,Medium,0.7,1.2
100173,Chen Yilmaz,United Kingdom,Casino Operator,Savings Account,0,25,Medium,0.42,1.0
100174,Mohammed Bello,Sweden,Software Engineer,Crypto Wallet,0,30,Medium,0.62,0.9
100175,Nadia Khan,Germany,Teacher,Fixed Deposit,0,10,Low,0.73,4.07
100176,Grace Cole,China,Teacher,Fixed Deposit,0,15,Low,0.43,5.18
100177,Aisha Ivanov,Turkey,Teacher,Savings Account,0,15,Low,0.64,1.2
100178,Ingrid Yilmaz,United States,Software Engineer,Current Account,0,10,Low,0.38,1.2
100179,James Wang,Sweden,Software Engineer,Crypto Wallet,0,20,Low,0.35,1.0
100180,Noah Nakamura,Germany,Real Estate Agent,Personal Loan,0,30,Medium,0.48,1.0
100181,Sergei Petrov,Netherlands,Doctor,Savings Account,0,10,Low,0.69,1.0
100182,Rajesh Reddy,Netherlands,Real Estate Agent,Fixed Deposit,0,20,Low,0.4,1.0
100183,Kwame Andersson,Australia,Retail Trader,Credit Card,0,30,Medium,0.38,1.2
100184,Amara Haddad,United States,Nurse,Credit Card,0,20,Low,0.75,7.24
100185,Emma Petrov,Sweden,Import/Export Trader,Crypto Wallet,0,30,Medium,0.73,1.0
100186,Rajesh Reddy,United States,Real Estate Agent,Savings Account,0,10,Low,0.4,1.2
100187,Carlos Nguyen,Netherlands,Money Service Business,Trade Finance,0,55,Medium,0.46,1.2
100188,Chloe Osei,United States,Civil Servant,Savings Account,0,10,Low,0.29,1.0
100189,Fatima Al-Sayed,Netherlands,Accountant,Trade Finance,0,30,Medium,0.79,1.2
100190,Wei Johnson,Brazil,Accountant,Current Account,0,15,Low,0.4,4.5
100191,Lucas Rossi,United Kingdom,Teacher,Current Account,0,10,Low,0.36,1.2
100192,Amara Bello,United Kingdom,Accountant,International Wire Transfers,0,30,Medium,0.42,1.0
100193,Fatima Okonkwo,Russia,Software Engineer,Current Account,0,40,Medium,0.5,3.51
100194,Emma Okonkwo,Netherlands,Software Engineer,Savings Account,0,10,Low,0.48,1.0
100195,Zara Hall,United Kingdom,Teacher,Savings Account,0,10,Low,0.48,1.2
100196,Sofia Silva,Canada,Teacher,Fixed Deposit,0,10,Low,0.5,2.53
100197,Hassan Okonkwo,United Kingdom,Doctor,International Wire Transfers,0,20,Low,0.45,1.0
100198,Carlos Adeyemi,France,Nurse,Crypto Wallet,0,30,Medium,0.44,8.39
100199,Omar Adeyemi,Japan,Accountant,Personal Loan,0,10,Low,0.64,1.0
100200,Lucas Volkov,United States,Teacher,Private Banking,0,20,Low,0.72,0.9
100201,Sergei Johnson,Panama,Arms Dealer,Personal Loan,0,100,High,0.64,1.0
100202,Adebayo Osei,Sweden,Doctor,Savings Account,0,10,Low,0.33,1.0
100203,Chloe Bello,Brazil,Accountant,Fixed Deposit,0,25,Medium,0.33,1.0
100204,Lucas Haddad,Myanmar,Real Estate Agent,Current Account,0,60,High,0.69,6.31
100205,Thomas Johnson,United States,Nurse,Current Account,0,10,Low,0.32,7.02
100206,Ravi Khan,France,Teacher,Credit Card,0,20,Low,0.48,0.9
100207,Liam Petrov,United Kingdom,Civil Servant,Credit Card,0,20,Low,0.82,1.0
100208,Hassan Khan,Turkey,Car Dealer,Credit Card,0,45,Medium,0.64,0.9
100209,Carlos Brown,United States,Real Estate Agent,Crypto Wallet,0,40,Medium,0.42,7.99
100210,Ivan Brown,China,Accountant,Trade Finance,0,35,Medium,0.67,1.2
100211,Hassan Lindqvist,Japan,Precious Metals Dealer,Credit Card,0,45,Medium,0.48,1.0
100212,Kenji Brown,Turkey,Accountant,Fixed Deposit,0,25,Medium,0.33,4.92
100213,Liam Bello,United States,Precious Metals Dealer,Savings Account,0,25,Medium,0.48,0.9
100214,Chloe Bello,Canada,Jeweller,Personal Loan,0,20,Low,0.33,2.77
100215,Chloe Cole,Canada,Jeweller,Savings Account,0,20,Low,0.43,1.0
100216,Yuki Yilmaz,Germany,Precious Metals Dealer,Current Account,0,35,Medium,0.35,4.84
100217,Aisha Andersson,Germany,Real Estate Agent,Current Account,0,40,Medium,0.46,2.28
100218,Oluwaseun Bello,Russia,Import/Export Trader,Crypto Wallet,0,80,High,0.38,1.2
100219,Yuki Khan,Russia,Software Engineer,Savings Account,0,50,Medium,0.48,0.9
100220,Zara Adeyemi,Nigeria,Casino Operator,International Wire Transfers,0,70,High,0.48,5.07
100221,Fatima Cole,Mexico,Real Estate Agent,Private Banking,0,55,Medium,0.42,1.2
100222,Elena Wang,Germany,Money Service Business,Current Account,0,35,Medium,0.61,4.07
100223,Tariq Reddy,Brazil,Real Estate Agent,Current Account,0,35,Medium,0.64,1.0
100224,Elena Dubois,United Kingdom,Nurse,Current Account,0,0,Low,0.56,1.2
100225,Noah Adeyemi,China,Retail Trader,Current Account,0,25,Medium,0.48,9.38
100226,Sofia Wang,Netherlands,Civil Servant,Credit Card,0,10,Low,0.43,1.0
100227,Mei Kowalski,South Africa,Doctor,Credit Card,0,25,Medium,0.47,2.68
100228,Chloe Lindqvist,Sweden,Car Dealer,Private Banking,0,30,Medium,0.3,0.9
100229,Benjamin Okonkwo,Turkey,Nurse,Current Account,0,25,Medium,0.48,1.0
100230,Adebayo Volkov,Germany,Nurse,Private Banking,0,20,Low,0.59,1.2
100231,Emma Bello,Nigeria,Teacher,Private Banking,0,45,Medium,0.43,1.0
100232,Ingrid Muller,Nigeria,Software Engineer,Current Account,1,50,Medium,0.4,5.0
100233,Ingrid Cole,France,Civil Servant,Credit Card,0,10,Low,0.5,1.2
100234,Aisha Wang,United States,Nurse,Current Account,0,10,Low,0.45,3.95
100235,Nadia Cole,Kenya,Software Engineer,International Wire Transfers,0,35,Medium,0.55,4.45
100236,Aisha Reddy,Germany,Civil Servant,Savings Account,0,30,Medium,0.52,2.99
100237,Hassan Petrov,Mexico,Teacher,Crypto Wallet,0,45,Medium,0.75,1.0
100238,Chloe Petrov,Brazil,Nurse,Trade Finance,0,45,Medium,0.67,1.2
100239,Lucas Reddy,Canada,Software Engineer,Personal Loan,0,10,Low,0.43,2.03
100240,James Haddad,Germany,Car Dealer,Private Banking,0,30,Medium,0.67,1.0
100241,Omar Al-Sayed,Syria,Real Estate Agent,Savings Account,1,75,High,1.0,9.65
100242,James Volkov,UAE,Civil Servant,Fixed Deposit,0,40,Medium,0.64,5.29
100243,Amara Patel,Canada,Doctor,Private Banking,0,30,Medium,0.5,5.67
100244,Ravi Okonkwo,Sweden,Doctor,International Wire Transfers,0,30,Medium,0.56,1.0
100245,Mohammed Kowalski,Ireland,Real Estate Agent,Personal Loan,0,20,Low,0.74,1.2
100246,Lucas Kimura,United States,Nurse,Savings Account,0,10,Low,0.4,1.2
100247,Sofia Yilmaz,United Kingdom,Real Estate Agent,Current Account,0,25,Medium,0.33,1.0
100248,Zara Johnson,Turkey,Nurse,Fixed Deposit,0,15,Low,0.33,1.0
100249,Sergei Bello,United States,Accountant,Fixed Deposit,0,25,Medium,0.69,1.0
100250,Noah Johnson,UAE,Software Engineer,Crypto Wallet,0,50,Medium,0.32,1.2
100251,Carlos Nakamura,United States,Real Estate Agent,Current Account,0,10,Low,0.44,6.9
100252,Emma Sokolov,United Kingdom,Teacher,Savings Account,0,0,Low,0.72,0.9
100253,Ingrid Cole,United Kingdom,Civil Servant,Current Account,1,55,Medium,0.5,4.9
100254,Hassan Khan,Netherlands,Real Estate Agent,Savings Account,0,20,Low,0.64,1.0
100255,Hassan Khan,United States,Doctor,Fixed Deposit,0,10,Low,0.64,0.9
100256,Benjamin Cole,Germany,Money Service Business,Fixed Deposit,0,35,Medium,0.46,1.0
100257,Ingrid Kimura,Australia,Nurse,Fixed Deposit,0,0,Low,0.38,1.0
100258,Sara Hall,Germany,Accountant,Savings Account,0,10,Low,0.48,4.77
100259,Tariq Volkov,United States,Retail Trader,Savings Account,0,20,Low,0.8,9.51
100260,Kenji Brown,United States,Accountant,Credit Card,0,20,Low,0.33,3.03
100261,Emma Chen,United States,Accountant,Credit Card,0,20,Low,0.36,1.2
100262,Liam Muller,Nigeria,Software Engineer,Crypto Wallet,0,35,Medium,0.45,0.9
100263,Mary Rossi,Germany,Retail Trader,Savings Account,0,20,Low,0.38,8.03
100264,Mohammed Kowalski,UAE,Doctor,Credit Card,0,35,Medium,0.74,2.87
100265,Dmitri Khan,Canada,Car Dealer,Current Account,0,10,Low,0.67,1.0
100266,Wei Osei,Germany,Car Dealer,Credit Card,1,55,Medium,0.38,1.2
100267,Benjamin Petrov,United States,Teacher,Savings Account,0,25,Medium,0.69,0.9
100268,Noah Wang,France,Jeweller,International Wire Transfers,0,40,Medium,0.38,1.0
100269,Benjamin Okonkwo,Nigeria,Accountant,Personal Loan,0,45,Medium,0.48,4.56
100270,Mohammed Dubois,United Kingdom,Civil Servant,Fixed Deposit,0,10,Low,0.61,7.88
100271,Hassan Cole,Japan,Teacher,International Wire Transfers,0,30,Medium,0.5,4.69
100272,Ravi Khan,UAE,Casino Operator,Trade Finance,0,60,High,0.48,0.9
100273,Yuki Reddy,Canada,Retail Trader,Savings Account,0,20,Low,0.36,3.83
100274,Kwame Silva,France,Doctor,Personal Loan,1,45,Medium,0.5,1.0
100275,Oluwaseun Dubois,UAE,Retail Trader,Private Banking,0,55,Medium,0.36,6.14
100276,Hassan Okafor,Germany,Jeweller,Credit Card,0,20,Low,0.53,1.2
100277,Thomas Reddy,UAE,Teacher,Current Account,0,25,Medium,0.48,1.0
100278,Ravi Brown,France,Real Estate Agent,Personal Loan,0,20,Low,0.45,1.0
100279,Mohammed Rossi,Nigeria,Car Dealer,Savings Account,0,35,Medium,0.75,0.9
100280,Kwame Wang,France,Accountant,Private Banking,0,30,Medium,0.36,3.42
100281,Priya Kimura,Turkey,Civil Servant,Current Account,0,25,Medium,0.33,1.0
100282,Carlos Nakamura,France,Teacher,Current Account,0,0,Low,0.44,5.13
100283,Carlos Hall,France,Real Estate Agent,Personal Loan,0,30,Medium,0.42,4.91
100284,Liam Muller,Japan,Nurse,Current Account,0,10,Low,0.45,0.9
100285,Sofia Andersson,United Kingdom,Cash-Intensive Business,Savings Account,0,25,Medium,0.46,1.0
100286,Aisha Adeyemi,Brazil,Software Engineer,Savings Account,0,40,Medium,0.48,0.9
100287,Zara Bello,UAE,Precious Metals Dealer,Fixed Deposit,0,40,Medium,0.43,1.0
100288,Zara Haddad,South Africa,Retail Trader,Trade Finance,0,55,Medium,0.78,3.17
100289,Carlos Silva,Canada,Teacher,Personal Loan,0,10,Low,0.4,4.51
100290,Wei Kimura,Russia,Nurse,Savings Account,0,55,Medium,0.43,7.82
100291,Ingrid Brown,India,Nurse,Savings Account,0,60,High,0.43,1.0
100292,Hassan Bello,Canada,Doctor,Crypto Wallet,0,30,Medium,0.48,1.0
100293,Aisha Nakamura,Netherlands,Teacher,International Wire Transfers,0,30,Medium,0.54,3.81
100294,Lucas Okafor,Australia,Casino Operator,Savings Account,0,25,Medium,0.48,1.0
100295,Ravi Ivanov,Netherlands,Retail Trader,Credit Card,0,20,Low,0.75,0.9
100296,Mary Nakamoto,Germany,Teacher,Credit Card,0,10,Low,0.8,1.0
100297,Liam Chen,Germany,Teacher,Crypto Wallet,0,30,Medium,0.4,1.0
100298,Mohammed Nakamoto,Japan,Nurse,Savings Account,0,10,Low,0.69,1.0
100299,James Muller,Canada,Retail Trader,Fixed Deposit,0,20,Low,0.33,9.78
100300,Mei Petrov,Canada,Nurse,Savings Account,0,10,Low,0.76,1.0
100301,Omar Brown,South Africa,Nurse,Private Banking,0,45,Medium,0.45,1.0
100302,Omar Dubois,Germany,Software Engineer,Fixed Deposit,0,10,Low,0.5,1.0
100303,Rajesh Chen,United Kingdom,Teacher,Credit Card,0,20,Low,0.29,1.0
100304,Chen Al-Sayed,United States,Teacher,Private Banking,0,20,Low,0.69,1.0
100305,Adebayo Brown,Iran,Teacher,Fixed Deposit,0,40,Medium,0.33,0.9
100306,Priya Al-Sayed,Canada,Software Engineer,Fixed Deposit,0,10,Low,0.79,1.0
100307,Mary Okonkwo,Netherlands,Civil Servant,Credit Card,0,20,Low,0.54,1.0
